date_id,LME_AH_Close,LME_PB_Close,JPX_Gold_Mini_Futures_Volume,JPX_Gold_Rolling-Spot_Futures_Volume,JPX_Gold_Standard_Futures_Volume,JPX_Platinum_Mini_Futures_Volume,JPX_Platinum_Standard_Futures_Volume,JPX_RSS3_Rubber_Futures_Volume,JPX_Gold_Mini_Futures_open_interest,JPX_Gold_Rolling-Spot_Futures_open_interest,JPX_Gold_Standard_Futures_open_interest,JPX_Platinum_Mini_Futures_open_interest,JPX_Platinum_Standard_Futures_open_interest,JPX_RSS3_Rubber_Futures_open_interest,US_Stock_AEM_adj_open,US_Stock_AG_adj_open,US_Stock_AGG_adj_open,US_Stock_ALB_adj_open,US_Stock_BCS_adj_open,US_Stock_BP_adj_open,US_Stock_CLF_adj_open,US_Stock_EEM_adj_open,US_Stock_EWZ_adj_open,US_Stock_FNV_adj_open,US_Stock_GOLD_adj_open,US_Stock_HAL_adj_open,US_Stock_NUGT_adj_open,US_Stock_ACWI_adj_volume,US_Stock_AEM_adj_volume,US_Stock_AG_adj_volume,US_Stock_AGG_adj_volume,US_Stock_ALB_adj_volume,US_Stock_AMP_adj_volume,US_Stock_BCS_adj_volume,US_Stock_BKR_adj_volume,US_Stock_BND_adj_volume,US_Stock_BNDX_adj_volume,US_Stock_BP_adj_volume,US_Stock_BSV_adj_volume,US_Stock_CAT_adj_volume,US_Stock_CCJ_adj_volume,US_Stock_CLF_adj_volume,US_Stock_COP_adj_volume,US_Stock_CVE_adj_volume,US_Stock_CVX_adj_volume,US_Stock_DE_adj_volume,US_Stock_DVN_adj_volume,US_Stock_EEM_adj_volume,US_Stock_EFA_adj_volume,US_Stock_EMB_adj_volume,US_Stock_ENB_adj_volume,US_Stock_EOG_adj_volume,US_Stock_EWJ_adj_volume,US_Stock_EWT_adj_volume,US_Stock_EWY_adj_volume,US_Stock_EWZ_adj_volume,US_Stock_FCX_adj_volume,US_Stock_FNV_adj_volume,US_Stock_FXI_adj_volume,US_Stock_GDX_adj_volume,US_Stock_GLD_adj_volume,US_Stock_GOLD_adj_volume,US_Stock_HAL_adj_volume,US_Stock_HES_adj_volume,US_Stock_HL_adj_volume,US_Stock_IAU_adj_volume,US_Stock_IEF_adj_volume,US_Stock_IEMG_adj_volume,US_Stock_IGSB_adj_volume,US_Stock_JNK_adj_volume,US_Stock_KGC_adj_volume,US_Stock_KMI_adj_volume,US_Stock_LQD_adj_volume,US_Stock_LYB_adj_volume,US_Stock_MBB_adj_volume,US_Stock_MPC_adj_volume,US_Stock_MS_adj_volume,US_Stock_NEM_adj_volume,US_Stock_NUE_adj_volume,US_Stock_NUGT_adj_volume,US_Stock_OIH_adj_volume,US_Stock_OKE_adj_volume,US_Stock_OXY_adj_volume,US_Stock_PAAS_adj_volume,US_Stock_RIO_adj_volume,US_Stock_RSP_adj_volume,US_Stock_RY_adj_volume,US_Stock_SCCO_adj_volume,US_Stock_SHEL_adj_volume,US_Stock_SHY_adj_volume,US_Stock_SLB_adj_volume,US_Stock_SLV_adj_volume,US_Stock_SPIB_adj_volume,US_Stock_SPTL_adj_volume,US_Stock_SPYV_adj_volume,US_Stock_STLD_adj_volume,US_Stock_TD_adj_volume,US_Stock_TECK_adj_volume,US_Stock_TIP_adj_volume,US_Stock_TRGP_adj_volume,US_Stock_URA_adj_volume,US_Stock_VALE_adj_volume,US_Stock_VCIT_adj_volume,US_Stock_VCSH_adj_volume,US_Stock_VEA_adj_volume,US_Stock_VGIT_adj_volume,US_Stock_VGK_adj_volume,US_Stock_VGLT_adj_volume,US_Stock_VGSH_adj_volume,US_Stock_VT_adj_volume,US_Stock_VTV_adj_volume,US_Stock_VWO_adj_volume,US_Stock_VXUS_adj_volume,US_Stock_VYM_adj_volume,US_Stock_WMB_adj_volume,US_Stock_WPM_adj_volume,US_Stock_X_adj_volume,US_Stock_XLB_adj_volume,US_Stock_XLE_adj_volume,US_Stock_YINN_adj_volume,FX_AUDUSD,FX_EURAUD,FX_EURGBP,FX_EURUSD,FX_ZARJPY,FX_AUDNZD,FX_EURCAD,FX_GBPCAD
0,2264.5,2570.0,5721.837940379404,6663.717615176151,27899.32032520325,975.9945799457995,8623.978319783198,1965.6428184281842,3786.0265582655825,73768.67371273713,25089.530623306233,1019.6065040650407,14754.550677506775,5290.118157181571,39.6837,6.7563,89.5868,117.2076,8.1897,27.4272,6.9508,46.6643,27.2048,74.4045,98.3121,42.6159,153.7555,2086655.0,958931.0,4063026.0,8851239.0,1118561.0,812370.0,2479483.0,3653271.0,3104529.0,3335706.0,4204919.0,1303818.0,5108362.0,2599140.0,17206204.0,3985183.0,3291948.0,5626785.0,1897594.0,4782523.0,68969445.0,26529992.0,5965341.0,2464147.0,1899830.0,8155709.0,2288820.0,2409894.0,19866772.0,21899857.0,529286.0,14290869.0,43172042.0,11762515.0,517148.0,7269233.0,2874217.0,5134266.0,5181470.5,3902185.0,10928291.0,1390474.0,3825092.3333,8927913.0,16189076.0,8480804.0,1127775.0,497374.0,3055886.0,6644643.0,5325831.0,3756643.0,1209120.4,346158.7,2548565.0,2829956.0,1549909.0,3908206.0,1132667.0,555237.0,932009.0,818213.0,1786046.0,8678208.0,8943159.0,911414.0,2450873.0,874915.0,2868565.0,1424536.0,4510381.0,1525065.0,1844452.0,608348.0,19189400.0,967681.0,1772292.0,9308030.0,239750.0,3203054.0,122068.0,201319.0,1267705.0,1925989.0,17804562.0,1937809.0,1534451.0,4480305.0,1918509.0,11994695.0,8979239.0,14891354.0,51983.65,0.783393,1.540368,0.887622,1.206713,9.028141,1.103011,1.508946,1.699987
1,2228.0,2579.0,5721.837940379404,6663.717615176151,27899.32032520325,975.9945799457995,8623.978319783198,1965.6428184281842,3786.0265582655825,73768.67371273713,25089.530623306233,1019.6065040650407,14754.550677506775,5290.118157181571,40.0082,7.1514,89.5786,120.0349,8.1748,27.6685,7.4622,47.1575,27.4936,73.3529,97.99,43.3825,159.9869,3217386.0,1095086.0,3287805.0,2441732.0,1042125.0,798721.0,2093172.0,4954241.0,2216727.0,879852.0,4753619.0,1561255.0,4146054.0,2688710.0,15880018.0,4105840.0,5904620.0,5805458.0,1392277.0,3908743.0,56228656.0,33384936.0,3111122.0,1839100.0,3068424.0,11572894.0,3400464.0,2176740.0,19379453.0,20673587.0,1000554.0,13556338.0,45780941.0,7904326.0,541989.0,11181926.0,3694948.0,5287284.0,7576264.5,2135976.0,10018637.0,1691482.0,8505087.6667,12718030.0,13893583.0,5087608.0,1437330.0,815582.0,4844035.0,6955511.0,5143550.0,3772513.0,1262889.6,666077.9,2539138.0,3463407.0,1479705.0,2849232.0,553456.0,713464.0,829856.0,1306782.0,1040937.0,9529205.0,9149509.0,594183.0,295799.0,444574.0,4305494.0,853992.0,4350134.0,3322391.0,2900595.0,655209.0,20449625.0,1101686.0,1533054.0,10178879.0,372129.0,3227641.0,34298.0,414231.0,768549.0,1236706.0,17896178.0,1391297.0,1170263.0,8969474.0,2899390.0,12109805.0,4952274.0,19299630.0,39273.0,0.782779,1.534906,0.889248,1.201492,9.111194,1.104186,1.507524,1.695279
2,2250.0,2587.0,2681.0,37908.0,30656.0,624.0,13713.0,4128.0,1768.0,128380.0,17671.0,1323.0,7893.0,7391.0,39.6239,6.9638,89.3901,120.2258,8.227,28.0467,7.519,47.4554,27.8939,71.9231,96.106,44.3059,155.455,2044202.0,891723.0,2555393.0,2945384.0,820939.0,870171.0,2435374.0,6213650.0,2152595.0,1469575.0,6113799.0,1738090.0,4865769.0,1419745.0,18622576.0,4897240.0,3587570.0,4598264.0,1747032.0,4243507.0,52154899.0,23974373.0,2974468.0,2025684.0,2124966.0,10920627.0,3300094.0,2258013.0,19276273.0,19540525.0,650930.0,11832265.0,31300269.0,7329718.0,396352.0,10142711.0,3839434.0,3053921.0,6067366.5,2430030.0,18278286.0,1253936.0,2887353.6667,8780206.0,12718909.0,7710116.0,1630994.0,904625.0,3156419.0,8678825.0,3876001.0,2529263.0,1108731.2,607154.2,2790821.0,2706051.0,1657160.0,2377675.0,577397.0,1016622.0,632187.0,1386012.0,955446.0,12252324.0,7466259.0,2792148.0,1701918.0,904759.0,1959521.0,1233808.0,3990943.0,1946494.0,2291888.0,276964.0,22033143.0,1354024.0,1439293.0,9883496.0,122940.0,4297473.0,591445.0,161725.0,819369.0,1501979.0,13003543.0,1298665.0,964661.0,7298642.0,2029410.0,9990157.0,4120092.0,14306843.0,43778.95,0.786472,1.535084,0.89083,1.2073,9.177484,1.098776,1.50793,1.692724
3,2202.5,2540.0,3523.0,30791.0,35267.0,525.0,17629.0,4586.0,2026.0,128145.0,21460.0,353.0,8800.0,8635.0,40.0167,6.9144,89.4967,119.1258,8.1822,28.0728,7.6895,47.68,27.7561,72.1814,95.3738,44.8286,155.3133,1595362.0,990895.0,2419881.0,4322873.0,807161.0,819234.0,3402861.0,4034566.0,4257400.0,781341.0,3846437.0,1865864.0,3945401.0,1128433.0,8631520.0,3771851.0,5323154.0,4189223.0,1574438.0,3722210.0,50026859.0,17483753.0,1705357.0,2499745.0,2221207.0,8861547.0,3359438.0,2149876.0,12516709.0,13870616.0,354063.0,8112470.0,21765751.0,5739904.0,276382.0,8617344.0,7002532.0,2787918.0,6636529.0,2163587.0,10641066.0,1219912.0,2724918.3333,6041120.0,11225271.0,5796472.0,1082016.0,501738.0,3512317.0,6475968.0,2877273.0,2660820.0,644957.4,324522.65,10159496.0,3240275.0,772341.0,3632600.0,727817.0,467253.0,535751.0,1407124.0,850599.0,8552681.0,5651532.0,868192.0,165175.0,622585.0,2236683.0,1015651.0,4500062.0,1691212.0,3137185.0,215872.0,20043191.0,1042092.0,2285958.0,8111481.0,133891.0,4861090.0,76093.0,158100.0,925118.0,1328483.0,12102278.0,1341229.0,1280244.0,6366688.0,2201174.0,12323878.0,4671998.0,14204426.0,25862.25,0.787461,1.527972,0.886809,1.203219,9.195264,1.098275,1.492598,1.683111
4,2175.0,2604.0,5721.837940379404,6663.717615176151,27899.32032520325,975.9945799457995,8623.978319783198,1965.6428184281842,3786.0265582655825,73768.67371273713,25089.530623306233,1019.6065040650407,14754.550677506775,5290.118157181571,40.068,6.8551,89.4639,122.0894,8.0629,28.0337,7.6895,47.9144,27.9792,72.4858,96.1938,45.0028,155.8326,1507846.0,1035069.0,2333356.0,3394498.0,1945185.0,1006302.0,2317961.0,4656781.0,2587313.0,1172472.0,3156186.0,1517634.0,5929202.0,1972609.0,8793286.0,4522857.0,3537608.0,4826132.0,2711764.0,3595988.0,36998238.0,21733708.0,3412943.0,1497184.0,1934379.0,8946829.0,7207979.0,2519683.0,18325542.0,15237170.0,479940.0,7095118.0,33365965.0,3566707.0,464968.0,7611860.0,3992385.0,5082211.0,6468683.0,2450624.0,6772495.0,1394318.0,3486121.0,8441108.0,12309099.0,3897191.0,1283204.0,712950.0,3212844.0,6681357.0,4719784.0,3118151.0,797844.6,558046.35,3640696.0,3174577.0,1941212.0,2781625.0,558314.0,531039.0,839731.0,919374.0,597787.0,9778907.0,6706993.0,755251.0,158107.0,385724.0,1926578.0,1047137.0,6621698.0,1198145.0,1528763.0,292572.0,17507334.0,1234569.0,1764856.0,8245922.0,168019.0,3492067.0,99199.0,157940.0,723160.0,1421356.0,10947543.0,1006768.0,1469662.0,5546048.0,3057977.0,11371000.0,4539115.0,9779217.0,29807.0,0.784808,1.525623,0.882271,1.197322,9.136605,1.093475,1.486463,1.684816
5,2152.5,2545.0,2452.0,27693.0,35846.0,649.0,14693.0,2925.0,2366.0,133955.0,25328.0,436.0,11333.0,8931.0,39.7349,6.7563,89.2999,125.0166,8.1002,27.975,7.6516,47.973,27.9464,71.9877,94.3976,45.6736,147.5241,1268218.0,859499.0,2342976.0,2301454.0,1198130.0,1639414.0,1761292.0,3396731.0,2725305.0,2306367.0,3450808.0,1168199.0,4522913.0,3492901.0,9862260.0,5519676.0,4171007.0,4422338.0,4345247.0,5826136.0,42131612.0,19138901.0,2979035.0,1726165.0,1944057.0,12793107.0,3462843.0,2403150.0,15757114.0,32628483.0,395608.0,13166555.0,40393656.0,9153584.0,354866.0,8587371.0,3327178.0,5594076.0,5104333.0,5924200.0,6992274.0,1845822.0,2927834.6667,12972946.0,10734440.0,7621727.0,1794033.0,665706.0,2980252.0,6622697.0,3902571.0,3289260.0,997491.0,309289.05,2056023.0,2985147.0,1542686.0,2735103.0,835069.0,454833.0,956300.0,1277553.0,1551131.0,9370258.0,6975433.0,416159.0,364487.0,1129109.0,3128167.0,1091060.0,5765820.0,1752733.0,853892.0,762243.0,31204913.0,1356038.0,1718109.0,7721401.0,140178.0,5295539.0,76426.0,317984.0,871712.0,1652520.0,11181078.0,1511814.0,1590727.0,3928155.0,3383038.0,11218916.0,4755486.0,9234491.0,41517.25,0.781189,1.527544,0.881826,1.193301,9.136319,1.093197,1.488463,1.687934
6,2182.0,2550.0,3128.0,32010.0,38297.0,599.0,15866.0,3457.0,2669.0,135233.0,27507.0,452.0,13000.0,9149.0,40.2473,6.7958,88.9473,122.8258,8.1449,28.0598,7.4717,47.5433,27.6576,72.9747,95.8717,45.3861,149.8845,1193322.0,1450989.0,2248331.0,4194349.0,884639.0,901852.0,3132632.0,3496155.0,3411439.0,3970310.0,2743226.0,3222137.0,5478633.0,4255109.0,9280628.0,4627894.0,3969178.0,5292182.0,5473728.0,3457092.0,72183945.0,18118856.0,2124361.0,3758573.0,4751455.0,10612540.0,4606421.0,1968728.0,14298761.0,28035239.0,532260.0,13534421.0,28985545.0,14809303.0,271131.0,9714221.0,3376097.0,5746037.0,5813065.5,2142476.0,10425225.0,2144706.0,16481388.0,9025969.0,12593901.0,6050495.0,1235998.0,884205.0,2719440.0,11028798.0,3542084.0,2539349.0,979715.6,408045.15,2517405.0,4094333.0,1491330.0,2497608.0,593886.0,738411.0,1063053.0,945225.0,789546.0,10017573.0,8167753.0,777445.0,404768.0,417238.0,1709529.0,1289138.0,4621023.0,2013481.0,1970351.0,557410.0,16253524.0,1136273.0,2382198.0,10860584.0,113542.0,5009211.0,146706.0,266029.0,862918.0,1480418.0,11029620.0,971278.0,921106.0,4201186.0,2506407.0,12171026.0,4220417.0,10821983.0,40268.45,0.784805,1.523801,0.885016,1.195888,8.965343,1.088837,1.498674,1.693386
7,2175.5,2549.0,3223.0,32990.0,42073.0,512.0,12344.0,2495.0,2674.0,131887.0,29526.0,479.0,14460.0,9202.0,39.7264,6.8255,89.0949,121.1803,7.9063,28.0337,7.6705,47.5335,27.7889,71.7847,96.0279,45.7955,149.6484,1258774.0,1046213.0,1957483.0,3470415.0,838380.0,726764.0,5898562.0,5641504.0,3381601.0,3392687.0,7676587.0,3285178.0,4198990.0,2216718.0,25535955.0,7341782.0,4489822.0,11641292.0,1958155.0,6856908.0,38720921.0,17314444.0,1787862.0,2389128.0,3828104.0,9085557.0,4156703.0,2679739.0,14419831.0,21236145.0,456053.0,8336277.0,23581387.0,5994730.0,288424.0,9086720.0,5526625.0,6971293.0,4295416.0,1798688.0,9236840.0,824856.0,3347980.0,11767518.0,17387611.0,5192586.0,1892030.0,708740.0,2494515.0,8309963.0,4093259.0,2027483.0,588249.0,549344.5,3359452.0,5061075.0,2066050.0,2577964.0,361873.0,570047.0,967976.0,2355523.0,1047876.0,10248734.0,5981867.0,438657.0,174857.0,631463.0,1838353.0,829645.0,4895164.0,1440421.0,2345386.0,210302.0,15011427.0,1840341.0,1686286.0,7529736.0,171100.0,3350323.0,166943.0,258570.0,777747.0,2853331.0,8602217.0,854303.0,1138707.0,5733053.0,1606923.0,9626883.0,5821321.0,18089532.0,27805.15,0.788765,1.527105,0.889507,1.204527,8.997832,1.086054,1.508298,1.695655
8,2214.0,2535.0,2174.0,24946.0,29181.0,478.0,11397.0,4209.0,2825.0,132668.0,30434.0,541.0,15347.0,8959.0,39.9143,6.8452,89.0785,123.0257,7.9436,28.5227,8.1724,47.9926,28.0908,71.8309,97.2481,46.3269,154.4164,1381953.0,1028991.0,8569441.0,3605930.0,990097.0,1153204.0,2871866.0,4082422.0,2829146.0,2128171.0,5649809.0,6323106.0,4127913.0,2878143.0,18670912.0,6742061.0,4383177.0,7232883.0,2317251.0,7671384.0,69358300.0,22694326.0,1651885.0,2462535.0,2025312.0,27322431.0,3182023.0,2341639.0,19845654.0,14187599.0,887170.0,17121020.0,55599163.0,9258570.0,444716.0,9026830.0,3675445.0,5520413.0,6652684.5,1430710.0,18084181.0,822732.0,5027865.0,13440213.0,16116960.0,4463052.0,2070462.0,546368.0,2628238.0,8998030.0,5068428.0,2637261.0,1408503.4,514269.55,2965244.0,5781137.0,1525545.0,2364016.0,475649.0,502343.0,558927.0,1300453.0,904967.0,9211490.0,9850132.0,743361.0,111965.0,869419.0,1887312.0,1012014.0,4840518.0,1428277.0,1880515.0,342080.0,19012471.0,1103605.0,1548852.0,8460131.0,127768.0,4842092.0,56434.0,214201.0,747717.0,2119936.0,15391059.0,1298325.0,896927.0,4371366.0,3321301.0,8592130.0,4548754.0,19819205.0,50016.35,0.792704,1.539726,0.889121,1.220548,8.961451,1.09346,1.520198,1.709776
9,2227.0,2587.0,3318.0,27699.0,36358.0,699.0,14659.0,5694.0,3311.0,130504.0,31665.0,631.0,15859.0,9056.0,54.667923859108356,8.445757233368534,95.44072757344291,131.99734371783035,8.041287011615628,27.239742397043294,13.434781731784584,42.763478835546984,26.075560238389947,115.7930129603527,79.23801612903226,27.34682774965574,68.02812794015095,3509146.4429778247,2122571.0110876453,6761841.042238648,6665400.347412882,1887981.5517423442,710339.9788806759,7581875.528511087,7167561.158922914,5241654.121436114,2603159.726504752,10100519.956177402,2522051.145195354,3602350.9915522705,4189055.302534319,14436277.08500528,7429733.007919746,7699990.919218585,8987834.710137276,1802798.2143611405,9260769.214889124,47303446.18373812,22963077.44350581,5216754.095564942,4196252.928722281,3968712.7043294613,6992503.716473073,4068276.294086589,3691824.0733896517,26184738.644139387,18019998.965153117,665588.0475184794,32584213.54223865,31220794.482048575,8626470.219640972,726637.2016129033,11382162.019007392,2632777.311275807,8819104.101372756,8391460.374604013,6687539.027455121,13663439.015839493,2786889.5670538545,7011823.105948627,15222737.217001056,14761352.60559662,16908477.82470961,2346526.271911299,1826381.9947201689,5350975.382787751,9475342.879619852,8467281.06282999,2335037.796726505,2528004.1497360086,616731.3166314678,3174026.3880675817,15193692.683210136,3059661.647835269,2939111.6404435057,3344790.029567054,1016326.0638859556,1098706.6911298838,3790426.436344427,3853021.7597676874,12130221.617212249,21118086.47148891,3368413.6156283,2891960.8653643085,2313471.9677930307,1975783.2866948259,1926532.2492080254,3931817.847940866,2635932.2639915524,2141731.554910243,1458558.7602956705,28166052.63780359,4503213.4413938755,3571120.2803590284,12317695.67529039,1580668.6441393876,4209823.862724393,1320547.0739176346,2028918.5850052799,2099692.648363252,2330531.1029567053,12711202.195353748,2958704.9070749735,1456780.848468849,8332788.237592397,2238516.577085533,11724936.829320492,6545776.832101373,22272536.68215417,1980734.9342661034,0.796239,1.541171,0.88958,1.227141,8.999982,1.09077,1.525079,1.714381
